Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were appropriate,Points - The ticket prices were appropriate,Feedback - The ticket prices were appropriate,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,There was an appropriate number of tech bite talks from sponsors,Points - There was an appropriate number of tech bite talks from sponsors,Feedback - There was an appropriate number of tech bite talks from sponsors,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,The symposium started and finished at appropriate times on each day,Points - The symposium started and finished at appropriate times on each day,Feedback - The symposium started and finished at appropriate times on each day,The sessions were an appropriate length,Points - The sessions were an appropriate length,Feedback - The sessions were an appropriate length,The discussion panels were an appropriate length,Points - The discussion panels were an appropriate length,Feedback - The discussion panels were an appropriate length,The poster session was an appropriate length,Points - The poster session was an appropriate length,Feedback - The poster session was an appropriate length,The coffee and lunch breaks were long enough,Points - The coffee and lunch breaks were long enough,Feedback - The coffee and lunch breaks were long enough,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The Francis Crick Institute was an appropriate venue for the symposium,Points - The Francis Crick Institute was an appropriate venue for the symposium,Feedback - The Francis Crick Institute was an appropriate venue for the symposium,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,I found interactions on Slack useful,Points - I found interactions on Slack useful,Feedback - I found interactions on Slack useful,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
"Non-Academic
",,,In Person,,,6,,,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Agree,,,Agree,,,Strongly Disagree,,,Strongly Agree,,,Not Applicable,,,Disagree,,,Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,5,,,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Disagree,,,Neither Agree nor Disagree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Disagree,,,Strongly Agree,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Ran out of food and not enough variety of talks,,
Staff Scientist / Facility Staff,,,Online,,,5,,,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Neither Agree nor Disagree,,,,,
"Post Doc
",,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Agree,,,Two (explicit) poster sessions would have been cool.,,
"PhD Student
",,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Fantastic ! cannot wait for #CBIAS2023,,
Staff Scientist / Facility Staff,,,Online,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Not Applicable,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,,,
"Group/Facility Lead
",,,Online,,,5,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Disagree,,,Agree,,,Agree,,,Disagree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Neither Agree nor Disagree,,,Strongly Agree,,,For me there were not enough talks focused on software and too much panels. I would add more science and lower these panel discussions.,,
"Post Doc
",,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,Agree,,,,,
"Post Doc
",,,Both,,,6,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,"I loved being able to attend virtually and in person - as a person with a health condition it was very useful to have that flexibility.
The amount of vegetarian food available at the evening social would be my only complaint. I understand it was all put out at the beginning of the night (without any sign indicating it was for vegetarians) so it got eaten by everyone before the veggies had a chance to get a decent portion - a mistake on the part of the venue most likely!",,
"Group/Facility Lead
",,,Online,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Disagree,,,Not Applicable,,,Not Applicable,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,Agree,,,It would be great if the recordings of the talks were shared with meeting participants,,
"Post Doc
",,,Online,,,5,,,,,Disagree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Strongly Agree,,,Agree,,,Disagree,,,Strongly Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Disagree,,,Not Applicable,,,Disagree,,,Disagree,,,Felt pretty disconnected from the conference. Had to pay registration fee out of own pocket.,,
"PhD Student
",,,Both,,,7,,,,,Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
"Post Doc
",,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Neither Agree nor Disagree,,,Thank you for the amazing time! For the lunch breaks the space might have been a bit too limited - more tables would have made things more comfortable for eating.,,
Staff Scientist / Facility Staff,,,Both,,,7,,,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,,,
"Non-Academic
",,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Disagree,,,Disagree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Disagree,,,Agree,,,Question & Answers for TechBites would really nice.,,
Staff Scientist / Facility Staff,,,In Person,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,,,
Staff Scientist / Facility Staff,,,Both,,,7,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,,,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
Staff Scientist / Facility Staff,,,Online,,,6,,,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Agree,,,Not Applicable,,,Agree,,,Not Applicable,,,Agree,,,Agree,,,"It would have been great to be able to see the posters online and to ask questions. Also, a couple of speakers were not speaking on the microphone and not using the cursor to point. Please do not give those people a cordless mic and laser pointer. Rather, they should speak to the microphone in front of the computer and use the cursor to point. But overall, I was very satisfied with the online experience, worth getting up at 3am! I would not have been able to attend in person, so thank you for giving this opportunity, much appreciated. Good job!!",,
"Post Doc
",,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Not Applicable,,,Agree,,,Agree,,,,,
